time;heading_sp;heading;lati;lon;lat_home;cv;error;int_error
101;0;211;51;7;51;0;0;0
101;0;210;51;7;51;0;0;0
101;0;208;51;7;51;0;0;0
101;0;206;51;7;51;0;0;0
101;0;202;51;7;51;0;0;0
101;0;198;51;7;51;0;0;0
101;0;193;51;7;51;0;0;0
101;0;189;51;7;51;0;0;0
101;0;184;51;7;51;0;0;0
101;0;176;51;7;51;0;0;0
101;0;166;51;7;51;0;0;0
101;0;155;51;7;51;0;0;0
101;0;143;51;7;51;0;0;0
101;0;129;51;7;51;0;0;0
101;0;116;51;7;51;0;0;0
101;0;103;51;7;51;0;0;0
101;0;90;51;7;51;0;0;0
101;0;77;51;7;51;0;0;0
101;0;65;51;7;51;0;0;0
101;0;54;51;7;51;0;0;0
101;0;44;51;7;51;0;0;0
101;0;34;51;7;51;0;0;0
101;0;25;51;7;51;0;0;0
101;0;16;51;7;51;0;0;0
101;0;7;51;7;51;0;0;0
101;0;358;51;7;51;0;0;0
101;0;350;51;7;51;0;0;0
102;0;342;51;7;51;0;0;0
102;0;334;51;7;51;0;0;0
102;0;328;51;7;51;0;0;0
102;0;322;51;7;51;0;0;0
102;0;318;51;7;51;0;0;0
104;0;314;51;7;51;0;0;0
102;0;312;51;7;51;0;0;0
102;0;309;51;7;51;0;0;0
102;0;307;51;7;51;0;0;0
103;0;303;51;7;51;0;0;0
102;0;301;51;7;51;0;0;0
102;0;301;51;7;51;0;0;0
102;0;300;51;7;51;0;0;0
102;0;300;51;7;51;0;0;0
103;0;299;51;7;51;0;0;0
103;0;320;51;7;51;0;0;0
103;0;339;51;7;51;0;0;0
102;0;356;51;7;51;0;0;0
102;0;11;51;7;51;0;0;0
102;0;23;51;7;51;0;0;0
102;0;35;51;7;51;0;0;0
102;0;44;51;7;51;0;0;0
103;0;53;51;7;51;0;0;0
102;0;60;51;7;51;0;0;0
102;0;66;51;7;51;0;0;0
102;0;72;51;7;51;0;0;0
102;0;76;51;7;51;0;0;0
101;0;80;51;7;51;0;0;0
102;0;84;51;7;51;0;0;0
102;0;86;51;7;51;0;0;0
101;0;88;51;7;51;0;0;0
101;0;89;51;7;51;0;0;0
101;0;90;51;7;51;0;0;0
101;0;90;51;7;51;0;0;0
101;0;89;51;7;51;0;0;0
101;0;89;51;7;51;0;0;0
102;0;88;51;7;51;0;0;0
101;0;86;51;7;51;0;0;0
101;0;85;51;7;51;0;0;0
101;0;85;51;7;51;0;0;0
101;0;84;51;7;51;0;0;0
101;0;84;51;7;51;0;0;0
101;0;84;51;7;51;0;0;0
102;0;84;51;7;51;0;0;0
102;0;85;51;7;51;0;0;0
102;0;85;51;7;51;0;0;0
101;0;86;51;7;51;0;0;0
102;0;87;51;7;51;0;0;0
102;0;88;51;7;51;0;0;0
101;0;90;51;7;51;0;0;0
101;0;91;51;7;51;0;0;0
102;0;93;51;7;51;0;0;0
-4078;250;106;51;7;51;1;7;217
101;250;106;51;7;51;1;7;217
101;250;106;51;7;51;1;7;217
101;250;106;51;7;51;1;7;217
101;250;95;51;7;51;1;7;217
101;250;75;51;7;51;1;7;217
101;250;57;51;7;51;1;7;217
101;250;39;51;7;51;1;7;217
101;250;23;51;7;51;1;7;217
101;250;9;51;7;51;1;7;217
101;250;355;51;7;51;1;7;217
101;250;342;51;7;51;1;7;217
101;250;331;51;7;51;1;7;217
101;250;319;51;7;51;1;7;217
101;250;308;51;7;51;1;7;217
101;250;298;51;7;51;1;7;217
101;250;287;51;7;51;1;7;217
102;250;278;51;7;51;1;7;217
102;250;269;51;7;51;1;7;217
102;250;261;51;7;51;1;7;217
102;250;254;51;7;51;1;7;217
102;250;248;51;7;51;1;7;217
102;250;244;51;7;51;1;7;217
102;250;239;51;7;51;1;7;217
102;250;238;51;7;51;1;7;217
102;250;234;51;7;51;1;7;217
102;250;230;51;7;51;1;7;217
104;250;221;51;7;51;1;7;217
102;250;217;51;7;51;1;7;217
102;250;213;51;7;51;1;7;217
102;250;210;51;7;51;1;7;217
103;250;208;51;7;51;1;7;217
103;250;205;51;7;51;1;7;217
103;250;203;51;7;51;1;7;217
103;250;201;51;7;51;1;7;217
102;250;199;51;7;51;1;7;217
102;250;197;51;7;51;1;7;217
102;250;195;51;7;51;1;7;217
102;250;193;51;7;51;1;7;217
102;250;192;51;7;51;1;7;217
102;250;190;51;7;51;1;7;217
102;250;188;51;7;51;1;7;217
102;250;187;51;7;51;1;7;217
102;250;186;51;7;51;1;7;217
102;250;185;51;7;51;1;7;217
102;250;184;51;7;51;1;7;217
103;250;183;51;7;51;1;7;217
101;250;183;51;7;51;1;7;217
101;250;183;51;7;51;1;7;217
101;250;183;51;7;51;1;7;217
101;250;183;51;7;51;1;7;217
101;250;184;51;7;51;1;7;217
101;250;184;51;7;51;1;7;217
102;250;185;51;7;51;1;7;217
101;250;186;51;7;51;1;7;217
101;250;187;51;7;51;1;7;217
101;250;189;51;7;51;1;7;217
102;250;190;51;7;51;1;7;217
101;250;191;51;7;51;1;7;217
102;250;193;51;7;51;1;7;217
101;250;194;51;7;51;1;7;217
101;250;195;51;7;51;1;7;217
101;250;195;51;7;51;1;7;217
101;250;196;51;7;51;1;7;217
102;250;197;51;7;51;1;7;217
101;250;199;51;7;51;1;7;217
101;250;200;51;7;51;1;7;217
101;250;201;51;7;51;1;7;217
102;250;203;51;7;51;1;7;217
101;250;204;51;7;51;1;7;217
101;250;205;51;7;51;1;7;217
101;250;206;51;7;51;1;7;217
101;250;207;51;7;51;1;7;217
101;250;209;51;7;51;1;7;217
101;250;210;51;7;51;1;7;217
101;250;211;51;7;51;1;7;217
101;250;212;51;7;51;1;7;217
101;250;213;51;7;51;1;7;217
101;250;214;51;7;51;1;7;217
101;250;218;51;7;51;1;7;217
